,0
754,0
755,0
756,1
757,0
758,1
759,0
760,0
761,1
762,0
763,1
764,-1
765,0
766,1
767,-1
768,1
769,0
770,0
771,1
772,0
773,0
774,0
775,0
776,0
777,1
778,-1
779,-1
780,1
781,-1
782,1
783,1
784,0
785,1
786,1
787,1
788,0
789,0
790,1
791,1
792,0
793,0
794,1
795,-1
796,-1
797,0
798,1
799,-1
800,1
801,-1
802,1
803,0
804,1
805,-1
806,1
807,-1
808,1
809,-1
810,1
811,1
812,1
813,1
814,0
815,-1
816,1
817,-1
818,-1
819,1
820,1
821,1
822,0
823,1
824,0
825,1
826,0
827,-1
828,1
829,1
830,0
831,1
832,1
833,0
834,1
835,0
836,1
837,1
838,-1
839,1
840,0
841,0
842,-1
843,0
844,0
845,1
846,-1
847,1
848,-1
849,1
850,-1
851,-1
852,1
853,1
854,0
855,-1
856,-1
857,1
858,-1
859,1
860,1
861,-1
862,-1
863,0
864,-1
865,1
866,1
867,1
868,-1
869,1
870,0
871,0
872,1
873,1
874,1
875,0
876,1
877,0
878,1
879,-1
880,0
881,1
882,0
883,0
884,0
885,-1
886,0
887,0
888,-1
889,0
890,0
891,1
892,0
893,0
894,-1
895,-1
896,1
897,0
898,0
899,0
900,-1
901,-1
902,-1
903,-1
904,1
905,-1
906,1
907,1
908,-1
909,-1
910,1
911,0
912,-1
913,1
914,1
915,0
916,0
917,1
918,1
919,1
920,0
921,0
922,1
923,1
924,1
925,0
926,-1
927,-1
928,0
929,0
930,1
931,-1
932,-1
933,1
934,0
935,-1
936,1
937,-1
938,-1
939,0
940,1
941,1
942,1
943,-1
944,1
945,1
946,1
947,0
948,1
949,-1
950,1
951,1
952,0
953,1
954,-1
955,0
956,0
957,1
958,-1
959,1
960,-1
961,1
962,0
963,0
964,1
965,1
966,1
967,-1
968,0
969,-1
970,1
971,1
972,0
973,0
974,0
975,0
976,0
977,-1
978,0
979,-1
980,1
981,0
982,-1
983,-1
984,-1
985,0
986,1
987,-1
988,1
989,0
990,0
991,1
992,0
